"group","subj","sex","age","year","month","sample_number","date","time","Cr","SG","month.name","mum","bday","weaning","mid","neo_value","CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","neo_sg"
"gn","renl","M",2.38466803559206,2015,9,67,2015-09-08,2022-02-22 10:44:00,0.31,23,"sep","robe",2013-04-27,1.834360027,2015-09-15,7.16,4.2,1,40,2018-01-11,"",1.16527404050418,333.734485200397
"gn","ropa","M",5.73579739904175,2015,9,68,2015-09-08,2022-02-22 12:11:00,0.8,38,"sep","robe",2009-12-20,3.529089665,2015-09-15,17.221,5.8,1,40,2018-01-11,"",0.705297445568318,485.83709240528
"twn","safi","F",2.55167693360712,2015,9,69,2015-09-09,2022-02-22 09:13:00,0.18,7,"sep","saph",2013-02-25,1.741273101,2015-09-15,1.583,10.8,8,40,2018-04-25,"",3.82875756165658,242.436928804095
"gn","mole","F",2.41478439425051,2015,9,70,2015-09-09,2022-02-22 11:56:00,0.32,23,"sep","merl",2013-04-16,1.467488022,2015-09-15,7.693,4.6,6,20,2018-01-26,"",1.16527404050418,179.289063871973
"gn","spad","F",5.65639972621492,2015,9,71,2015-09-10,2022-02-22 10:43:00,1.19,48,"sep","spik",2010-01-18,2.258726899,2015-09-15,20.495,3.5,5,40,2018-01-25,"",0.558360477741585,457.743919652552
"tws","dubl","M",6.52977412731006,2015,9,72,2015-09-10,2022-02-22 10:50:00,2.05,39,"sep","dixi",2009-03-05,2.321697467,2015-09-15,46.153,6.5,8,40,2018-04-25,"",0.687212895681951,1268.67747097636
"gn","mend","F",5.61259411362081,2015,9,73,2015-09-10,2022-02-22 13:58:00,0.37,14,"sep","merl",2010-02-03,2.236824093,2015-09-15,2.398,10,4,40,2018-01-25,"",1.91437878082829,183.62721265705
"twn","ruki","M",4.56399726214921,2015,9,74,2015-09-11,2022-02-22 08:10:00,0.51,21,"sep","rave",2011-02-21,2.770704997,2015-09-15,6.527,18.4,19,40,2018-05-16,"",1.27625252055219,333.204008065767
"gn","spor","F",2.02053388090349,2015,9,75,2015-09-14,2022-02-22 09:40:00,0.79,31,"sep","spik",2013-09-07,2.168377823,2015-09-15,NA,NA,NA,NA,NA,NA,0.864558159083745,NA
"tws","bike","M",6.47227926078029,2015,9,76,2015-09-14,2022-02-22 16:49:00,0.27,17,"sep","bif",2009-03-26,2.264202601,2015-09-15,7.959,6.2,19,20,2018-05-16,"",1.57654723127036,250.954788273616
"gn","dext","M",2.47775496235455,2015,9,77,2015-09-15,2022-02-22 12:00:00,0.77,41,"sep","dj",2013-03-24,1.80698152,2015-09-15,NA,NA,NA,NA,NA,NA,0.653690315404783,NA
"tws","tatu","M",6.54072553045859,2015,9,78,2015-09-16,2022-02-22 11:21:00,1.64,31,"sep","twin",2009-03-01,2.945927447,2015-09-15,22.908,8.4,8,40,2018-04-25,"",0.864558159083745,792.211932331617
"tws","brog","F",6.6611909650924,2015,9,79,2015-09-16,2022-02-22 14:39:00,2.2,51,"sep","bow",2009-01-16,2.516084873,2015-09-15,67.578,6.3,8,40,2018-04-25,"",0.525515743756786,1420.53211726384
"tws","bike","M",6.47227926078029,2015,9,80,2015-09-17,2022-02-22 12:30:00,0.71,31,"sep","bif",2009-03-26,2.264202601,2015-09-15,NA,NA,NA,NA,NA,NA,0.864558159083745,NA
"twn","petr","F",5.45106091718001,2015,9,81,2015-09-17,2022-02-22 12:38:00,0.33,23,"sep","park",2010-04-03,2.565366188,2015-09-15,NA,NA,NA,NA,NA,NA,1.16527404050418,NA
