,group,subj,date,time,sample_number,Cr,SG,Cr.plate.number,Cr.date,cp_dilution,cp_run,cp_assay_date,pg.ml_ucp,cp_batch,stdcr_CP,stdsg_CP,cp_note,month,year,sex,age,month.name,mum,bday,weaning,mid,neo_value,CV,neo_plate_number,neo_dilution,neo_date_assayed,neo_note,SG_corr_fac,neo_sg,month_name,pl,gmd,gm,r,n_agg_g,n_agg_r,n_obs
46,gn,ting,2015-10-16,2021-12-30 15:20:00,179,0.72,38.0,4.0,2016-11-01,20.0,1.0,11/8/16,8274.29,1.0,7819.278795,5833.073502,,10,2015,M,4.73921971252567,oct,tang,2011-01-18,2.704996578,2015-10-15,8.375,10.9,1.0,40.0,2018-01-11,,0.705297445568318,236.274644265387,oct,0.021875,0.021875,0.01875,0.41875,2,4,320
47,tws,fris,2015-11-03,2021-12-30 11:20:00,217,1.28,39.0,5.0,2016-11-01,20.0,1.0,11/8/16,5138.33,1.0,2731.36965,3529.455358,,11,2015,M,6.71594798083504,nov,flet,2009-02-26,1.418206708,2015-11-15,36.697,0.2,10.0,40.0,2018-04-27,,0.687212895681951,1008.74606531362,nov,0.0166666666666667,0.0133333333333333,0.0233333333333333,0.43,4,9,300
48,gn,renl,2015-11-18,2021-12-30 16:25:00,238,1.84,53.0,5.0,2016-11-01,20.0,1.0,11/8/16,73950.9,1.0,27346.01812,37378.15854,,11,2015,M,2.55167693360712,nov,robe,2013-04-27,1.834360027,2015-11-15,75.942,13.3,5.0,40.0,2018-01-25,,0.505684960973511,1536.10909225002,nov,0.0166666666666667,0.03,0.0166666666666667,0.36,0,2,300
49,gn,mend,2015-11-18,2021-12-30 16:10:00,240,1.74,54.0,5.0,2016-11-01,20.0,1.0,11/8/16,84400.6,1.0,33003.86045,41869.91524,,11,2015,F,5.77960301163587,nov,merl,2010-02-03,2.236824093,2015-11-15,74.099,4.3,6.0,40.0,2018-01-26,,0.496320424659187,1471.07388587284,nov,0.0,0.0438871473354232,0.0188087774294671,0.401253918495298,0,2,319
50,tws,tesl,2015-11-19,2021-12-30 11:20:00,241,1.84,53.0,5.0,2016-11-01,20.0,1.0,11/8/16,28486.4,1.0,10533.876,14398.32612,,11,2015,F,2.70225872689938,nov,twin,2013-03-03,1.49486653,2015-11-15,44.283,5.0,11.0,40.0,2018-04-27,,0.505684960973511,895.7298850716,nov,0.0,0.0733333333333333,0.0566666666666667,0.25,1,0,300
51,tws,blas,2015-11-27,2021-12-30 12:23:00,264,0.76,39.0,5.0,2016-11-01,20.0,9.0,11/24/16,21135.2,14.0,18921.74677,14517.50761,"redo, in singlet, originally in batch 1, run 1",11,2015,M,3.78370978781656,nov,blaz,2012-02-02,1.817932923,2015-11-15,34.706,14.8,11.0,40.0,2018-04-27,,0.687212895681951,954.016430301512,nov,0.0433333333333333,0.0233333333333333,0.0,0.396666666666667,0,3,300
52,gn,dais,2015-12-04,2021-12-30 12:31:00,275,1.6,37.0,5.0,2016-11-01,20.0,1.0,11/8/16,34595.1,14.0,14711.70691,25047.43013,,12,2015,F,5.81245722108145,dec,daff,2010-02-21,1.98220397,2015-12-15,65.645,11.0,2.0,40.0,2018-01-16,,0.724359538691786,1902.02327669689,dec,0.0,0.0733333333333333,0.0866666666666667,0.366666666666667,0,2,300
53,tws,brog,2015-12-04,2021-12-30 11:18:00,277,2.6,40.0,6.0,2016-11-02,20.0,1.0,11/8/16,17952.9,1.0,4698.180741,12023.33445,,12,2015,F,6.91033538672142,dec,bow,2009-01-16,2.516084873,2015-12-15,,,,,,,0.670032573289902,,dec,0.0233333333333333,0.0033333333333333,0.06,0.376666666666667,4,0,300
54,tws,tatu,2015-12-18,2021-12-30 12:42:00,294,2.42,42.0,6.0,2016-11-02,20.0,1.0,11/8/16,9399.76,1.0,2642.833818,5995.394735,,12,2015,M,6.78986995208761,dec,twin,2009-03-01,2.945927447,2015-12-15,,,,,,,0.638126260276097,,dec,0.0566666666666667,0.0033333333333333,0.0,0.38,5,5,300
55,tws,burn,2015-12-19,2021-12-30 09:30:00,303,2.0,39.0,6.0,2016-11-02,20.0,2.0,11/9/16,26601.7,2.0,9049.98485,18272.37888,,12,2015,F,6.79260780287474,dec,blaz,2009-02-28,2.247775496,2015-12-15,32.352,6.2,12.0,40.0,2018-05-07,,0.687212895681951,889.308464044099,dec,0.0,0.0066666666666666,0.0333333333333333,0.45,0,0,300
56,gn,stre,2015-12-21,2021-12-30 10:00:00,305,1.32,42.0,6.0,2016-11-02,20.0,2.0,11/9/16,73836.3,2.0,38059.62027,47094.58159,,12,2015,F,6.78165639972621,dec,sput,2009-03-04,3.06091718,2015-12-15,,,,,,,0.638126260276097,,dec,0.0,0.0166666666666667,0.0333333333333333,0.406666666666667,0,2,300
57,twn,petr,2015-12-21,2021-12-30 12:14:00,306,0.98,39.0,6.0,2016-11-02,20.0,2.0,11/9/16,11028.4,2.0,7656.933765,7575.271628,,12,2015,F,5.70020533880903,dec,park,2010-04-03,2.565366188,2015-12-15,15.152,3.2,12.0,40.0,2018-05-07,,0.687212895681951,416.505991814917,dec,0.0,0.0333333333333333,0.0433333333333333,0.34,1,0,300
58,twn,allo,2015-12-21,2021-12-30 10:33:00,308,1.48,49.0,6.0,2016-11-02,20.0,2.0,11/9/16,36009.7,2.0,16554.8879,19686.7366,,12,2015,M,2.68309377138946,dec,ambe,2013-04-09,3.394934976,2015-12-15,,,,,,,0.546965365950941,,dec,0.0133333333333333,0.06,0.0,0.296666666666667,0,0,300
59,tws,brav,2015-12-21,2021-12-30 10:34:00,309,1.18,50.0,6.0,2016-11-02,20.0,2.0,11/9/16,12231.2,2.0,7052.701722,6553.138862,,12,2015,M,2.71868583162218,dec,bow,2013-03-27,3.370294319,2015-12-15,12.234,13.4,12.0,80.0,2018-05-07,,0.536026058631922,524.619424104234,dec,0.079734219269103,0.0033222591362126,0.0033222591362126,0.352159468438538,0,0,301
60,tws,brav,2015-12-22,2021-12-30 15:15:00,313,1.72,52.0,6.0,2016-11-02,20.0,2.0,11/9/16,12287.0,2.0,4860.555067,6329.841307,,12,2015,M,2.71868583162218,dec,bow,2013-03-27,3.370294319,2015-12-15,15.962,8.1,12.0,80.0,2018-05-07,,0.515409671761463,658.157534452518,dec,0.079734219269103,0.0033222591362126,0.0033222591362126,0.352159468438538,0,0,301
