"group","subj","date","age","year","month","time","sample_number","stdsg_CP","neo_sg","Cr","SG","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","cp_note","sex","month.name","mum","bday","weaning","mid","neo_value","CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","month_name","pl","gmd","gm","r","n_agg_g","n_agg_r","n_obs"
"tws","brog",2015-10-13,6.74332648870637,2015,10,2022-02-22 12:07:00,165,1819.332241,522.891497289973,1.49,48,3,2016-10-28,20,1,"11/8/16",3259.89,1,1488.624402,"","F","oct","bow",2009-01-16,2.516084873,2015-10-15,23.423,0.2,9,40,2018-04-26,"",0.55809620596206,"oct",0,0,0.08,0.29,1,0,300
"tws","sevi",2015-10-15,2.51882272416153,2015,10,2022-02-22 10:55:00,173,3600.247371,1183.4854200542,0.82,45,4,2016-11-01,20,1,"11/8/16",6047.76,1,5018.213706,"","F","oct","sava",2013-04-08,1.735797399,2015-10-15,49.701,10.8,9,40,2018-04-26,"",0.595302619692864,"oct",0,0.003125,0.025,0.315625,0,0,320
"tws","brog",2015-10-15,6.74332648870637,2015,10,2022-02-22 10:46:00,175,9932.581688,1088.02609368951,1.52,42,4,2016-11-01,20,1,"11/8/16",15572.6,1,6970.854161,"","F","oct","bow",2009-01-16,2.516084873,2015-10-15,42.646,13.2,10,40,2018-04-27,"",0.637824235385211,"oct",0,0,0.08,0.29,1,0,300
"tws","boyd",2015-10-15,3.52908966461328,2015,10,2022-02-22 14:38:00,177,6083.37621,279.698683701123,0.92,42,4,2016-11-01,20,1,"11/8/16",9537.7,1,7053.818602,"","F","oct","buai",2012-04-04,2.740588638,2015-10-15,10.963,5.2,10,40,2018-04-27,"",0.637824235385211,"oct",0,0.046875,0.01875,0.278125,2,6,320
"gn","ting",2015-10-16,4.73921971252567,2015,10,2022-02-22 15:20:00,179,5833.073502,236.162815575524,0.72,38,4,2016-11-01,20,1,"11/8/16",8274.29,1,7819.278795,"","M","oct","tang",2011-01-18,2.704996578,2015-10-15,8.375,10.9,1,40,2018-01-11,"",0.704963628583654,"oct",0.021875,0.021875,0.01875,0.41875,2,4,320
"tws","fris",2015-11-03,6.71594798083504,2015,11,2022-02-22 11:20:00,217,3529.455358,1008.26862622472,1.28,39,5,2016-11-01,20,1,"11/8/16",5138.33,1,2731.36965,"","M","nov","flet",2009-02-26,1.418206708,2015-11-15,36.697,0.2,10,40,2018-04-27,"",0.68688763810715,"nov",0.0166666666666667,0.0133333333333333,0.0233333333333333,0.43,4,9,300
"gn","renl",2015-11-18,2.55167693360712,2015,11,2022-02-22 16:25:00,238,37378.15854,1535.38205246203,1.84,53,5,2016-11-01,20,1,"11/8/16",73950.9,1,27346.01812,"","M","nov","robe",2013-04-27,1.834360027,2015-11-15,75.942,13.3,5,40,2018-01-25,"",0.505445620493941,"nov",0.0166666666666667,0.03,0.0166666666666667,0.36,0,2,300
"gn","mend",2015-11-18,5.77960301163587,2015,11,2022-02-22 16:10:00,240,41869.91524,1470.37762722072,1.74,54,5,2016-11-01,20,1,"11/8/16",84400.6,1,33003.86045,"","F","nov","merl",2010-02-03,2.236824093,2015-11-15,74.099,4.3,6,40,2018-01-26,"",0.49608551641072,"nov",0,0.0438871473354232,0.0188087774294671,0.401253918495298,0,2,319
"tws","tesl",2015-11-19,2.70225872689938,2015,11,2022-02-22 11:20:00,241,14398.32612,895.305936493327,1.84,53,5,2016-11-01,20,1,"11/8/16",28486.4,1,10533.876,"","F","nov","twin",2013-03-03,1.49486653,2015-11-15,44.283,5,11,40,2018-04-27,"",0.505445620493941,"nov",0,0.0733333333333333,0.0566666666666667,0.25,1,0,300
"tws","blas",2015-11-27,3.78370978781656,2015,11,2022-02-22 12:23:00,264,14517.50761,953.564894725871,0.76,39,5,2016-11-01,20,9,"11/24/16",21135.2,14,18921.74677,"redo, in singlet, originally in batch 1, run 1","M","nov","blaz",2012-02-02,1.817932923,2015-11-15,34.706,14.8,11,40,2018-04-27,"",0.68688763810715,"nov",0.0433333333333333,0.0233333333333333,0,0.396666666666667,0,3,300
