"subj","month","year","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","group","fai","fai_cat","avg_rain"
"dais",9,2015,"sep",0,0.0666666666666667,0.0466666666666667,0.29,0.443333333333333,0.113333333333333,0,0,0,300,0,"gn",7298089.98653846,"low",7.55
"dais",10,2015,"oct",0,0.01875,0.03125,0.29375,0.390625,0.178125,0,1,2,320,0,"gn",6099094.65192308,"low",7.49032258064516
"dais",11,2015,"nov",0,0.00666666666666667,0.01,0.433333333333333,0.32,0.15,0,0,0,300,0,"gn",117032983.428846,"med",9.96
"dais",12,2015,"dec",0,0.0733333333333333,0.0866666666666667,0.366666666666667,0.23,0.163333333333333,0,0,0,300,0,"gn",206628053.235577,"hi",5.9
"dais",1,2016,"jan",0.00333333333333333,0.0366666666666667,0.0466666666666667,0.373333333333333,0.28,0.196666666666667,0,0,2,300,0,"gn",224542994.659615,"hi",2.85483870967742
"dais",2,2016,"feb",0,0.0222222222222222,0.0277777777777778,0.375,0.338888888888889,0.172222222222222,0,2,3,360,0,"gn",1746739.10288462,"low",1.33448275862069
"dais",3,2016,"mar",0,0.02,0.05,0.383333333333333,0.236666666666667,0.176666666666667,0,0,3,300,0,"gn",40715871.9509615,"low",2.5
"dame",8,2015,"aug",0.0388888888888889,0.00555555555555556,0.0222222222222222,0.355555555555556,0.25,0.261111111111111,0,0,0,180,0.957,"tws",7755239.42916667,"low",8.24193548387097
"dame",9,2015,"sep",0,0.0666666666666667,0.06,0.33,0.253333333333333,0.2,0,4,5,300,0.957,"tws",13291529.0777778,"low",7.55
"dame",10,2015,"oct",0,0.053125,0.034375,0.21875,0.353125,0.19375,0,0,0,320,0.957,"tws",8685715.30416667,"low",7.49032258064516
"dame",11,2015,"nov",0,0.0833333333333333,0.0433333333333333,0.3,0.29,0.166666666666667,0,0,1,300,0.957,"tws",131187483.281444,"med",9.96
"dame",12,2015,"dec",0.00666666666666667,0.00666666666666667,0.0166666666666667,0.383333333333333,0.343333333333333,0.176666666666667,0,0,1,300,0.957,"tws",237582652.334722,"hi",5.9
"dame",1,2016,"jan",0.07,0.0133333333333333,0.0166666666666667,0.383333333333333,0.24,0.176666666666667,0,5,0,300,0.957,"tws",238110609.245833,"hi",2.85483870967742
"dame",2,2016,"feb",0.0194444444444444,0,0.0138888888888889,0.363888888888889,0.355555555555556,0.15,0.0277777777777778,4,2,360,0.957,"tws",3108847.49027778,"low",1.33448275862069
"dame",3,2016,"mar",0.0133333333333333,0,0.04,0.536666666666667,0.15,0.19,0,1,2,300,0.957,"tws",108977575.177778,"med",2.5
"dann",8,2015,"aug",0,0,0,0.366666666666667,0.266666666666667,0.266666666666667,0,0,2,180,0,"gn",44096.4490384615,"low",8.24193548387097
