subj,group,year,month,sex,age,mrank,log2_neo,log2_cp_tar,cr_resid,sample_interval
ruki,twn,2016,1,M,4.898015058179329,0.273,8.678593960204543,10.79643403186797,-0.0400133215560404,34
davi,twn,2016,1,F,2.349075975359343,1,10.259326916480896,14.851100526189276,-0.5265842620680585,6
pira,gn,2016,1,M,4.9664613278576315,0.947,8.42662083072718,11.974194333941584,-0.03639098207037342,19
brog,tws,2016,1,F,6.995208761122519,0.826,8.62567093501575,13.441561665459156,-0.33967564913109094,19
blas,tws,2016,1,M,3.9507186858316223,0.13,8.350618834722393,15.053299203840748,-0.11357808215010955,17
stre,gn,2016,1,F,6.86652977412731,0.684,8.93090031775667,15.274794905820753,0.2937286875133966,4
spor,gn,2016,1,F,2.3545516769336072,0.368,8.658240321654448,14.70225948109748,-0.29526592240042515,15
renl,gn,2016,1,M,2.7186858316221767,0.263,NA,12.76641835479606,-0.2898910380749615,17
dais,gn,2016,1,F,5.897330595482546,0,8.75548242409823,13.570826505129455,0.21927398612902746,15
ropa,gn,2016,1,M,6.069815195071868,0.263,8.596212992153967,14.397203258176638,-0.31526592240042517,22
dame,tws,2016,1,F,4.0219028062970565,0.957,7.84944977092028,13.177948487491037,-0.23526592240042515,23
bike,tws,2016,1,M,6.806297056810404,0.261,11.407888856395983,11.669596242266744,-0.036701317754519486,11
atom,tws,2016,1,F,6.896646132785763,0.556,10.086023716847622,14.415796477835752,0.03584991954876274,27
tesl,tws,2016,1,F,2.869267624914442,1,8.735701001384747,13.756446915314898,-0.14240543392914873,16
kabu,twn,2016,1,F,2.7433264887063653,0.455,9.480153119870423,13.84623729854643,0.038667545772857165,13
pam,twn,2016,1,F,2.855578370978782,0.091,9.722760644341854,13.781012462112002,-0.04930457839996219,12
amos,twn,2016,1,M,5.9110198494182065,0.636,10.296185701196224,14.128563161646673,0.27217865625053816,9
davi,twn,2016,1,F,2.349075975359343,1,9.223365811142214,13.93779681867679,-0.09507078526676355,36
tatu,tws,2016,1,M,6.874743326488707,1,8.529780932373745,12.490130630260072,0.06714775666079305,11
bong,tws,2016,1,M,2.6995208761122518,0.696,8.147876159614041,10.67129715484279,-0.3493045783999621,11
burn,tws,2016,1,F,6.877481177275839,0.13,10.346618173115507,13.836447994863263,-0.04627131248660343,13
dubl,tws,2016,1,M,6.863791923340178,0.957,9.030832473615659,14.00893269962748,0.32534735214094596,14
peke,tws,2016,1,M,5.04312114989733,0.174,8.705900957638306,13.18822689701444,-0.1519018182473178,11
dean,gn,2016,1,M,5.01574264202601,0.211,8.159881333244872,12.975328255455368,-0.18627131248660345,12
dext,gn,2016,1,M,2.811772758384668,0.579,9.619770482886276,12.54003272629839,-0.09370115863465765,13
mend,gn,2016,1,F,5.946611909650924,0.737,8.764220146736443,15.841778849903761,-0.1194610531906896,18
stre,gn,2016,1,F,6.86652977412731,0.684,9.17459806182365,15.076133052865138,0.5165815487960026,31
mole,gn,2016,1,F,2.74880219028063,0.737,9.244031646029288,10.62909602224822,-0.07670131775451941,6
stel,gn,2016,1,F,2.6913073237508556,0.684,8.98233510414329,11.63899502132362,-0.07670131775451941,8
spad,gn,2016,1,F,5.990417522245037,0.368,9.43452398289945,14.481606875073924,0.19539863910541877,12
bike,tws,2016,1,M,6.806297056810404,0.261,8.99147575799976,14.258088449034346,0.09004057930574132,3
amos,twn,2016,1,M,5.9110198494182065,0.636,9.048124183468808,12.318587281523897,-0.08611404469240642,4
allo,twn,2016,1,M,2.7679671457905544,0.636,NA,12.78449239396579,0.2599866784439596,15
safi,twn,2016,1,F,2.8856947296372346,0.818,10.176187017306928,14.62746412131652,0.17934289062275596,9
onyx,twn,2016,1,M,2.926762491444216,0.909,8.752088916259128,12.36606222466975,0.10844530226014143,22
pam,twn,2016,1,F,2.855578370978782,0.091,9.83087529635365,14.66438829012067,0.15934289062275594,11
keny,twn,2016,1,M,5.935660506502396,0.455,9.367181035662696,13.380899024271676,-0.0653514006745467,15
