"group","subj","date","age","year","month","time","sample_number","stdsg_CP","neo_sg","sex","Cr","SG","month.name","mum","bday","weaning","mid","neo_value","neo_CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","cp_note","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","fai","fai_cat","avg_rain","cr_resid"
"tws","blas","2015-08-25",3.53182751540041,2015,8,"2022-03-05 11:13:00",33,4827.281231,131.689150546678,"M",0.84,29,"aug","blaz","2012-02-02",1.817932923,"2015-08-15",3.564,10.2,18,40,"2018-05-15",NA,0.923745444350995,2,"2016-10-27",10,3,"11/16/16",5225.77,4,4232.914163,"","aug",0,0,0,0.411111111111111,0.311111111111111,0.205555555555556,0,0,2,180,0.13,7755239.42916667,"low",8.24193548387097,0.110030131960123
"tws","tatu","2015-08-25",6.4558521560575,2015,8,"2022-03-05 12:15:00",34,1141.466835,123.380720092915,"M",0.17,7,"aug","twin","2009-03-01",2.945927447,"2015-08-15",3.224,0.9,18,10,"2018-05-15",NA,3.82694541231127,2,"2016-10-27",2,8,"11/23/16",298.271,12,1193.797226,"run neat?","aug",0.0833333333333333,0,0,0.272222222222222,0.394444444444444,0.166666666666667,0,2,1,180,1,7755239.42916667,"low",8.24193548387097,-0.0228036095575318
"tws","fris","2015-08-26",6.46406570841889,2015,8,"2022-03-05 12:51:00",35,3559.314363,978.454268292683,"M",0.58,24,"aug","flet","2009-02-26",1.418206708,"2015-08-15",21.915,3.5,7,40,"2018-04-17",NA,1.11619241192412,2,"2016-10-27",10,3,"11/16/16",3188.8,4,3740.828035,"","aug",0.0111731843575419,0,0.0167597765363128,0.597765363128492,0.167597765363128,0.17877094972067,0,1,1,179,0.625,7755239.42916667,"low",8.24193548387097,-0.0243254604545381
"tws","tatu","2015-08-26",6.4558521560575,2015,8,"2022-03-05 10:44:00",36,5526.590565,814.966153187848,"M",1.03,38,"aug","twin","2009-03-01",2.945927447,"2015-08-15",28.901,5.2,7,40,"2018-04-17",NA,0.704963628583654,2,"2016-10-27",20,1,"11/8/16",7839.54,1,5178.712626,"","aug",0.0833333333333333,0,0,0.272222222222222,0.394444444444444,0.166666666666667,0,2,1,180,1,7755239.42916667,"low",8.24193548387097,0.0685912918986603
"twn","pam","2015-08-26",2.43668720054757,2015,8,"2022-03-05 10:47:00",37,7733.593341,NA,"F",0.35,21,"aug","park","2013-03-08",1.796030116,"2015-08-15",NA,NA,NA,NA,NA,NA,1.27564847077042,2,"2016-10-27",5,5,"11/21/16",6062.48,9,11785.57378,"","aug",0,0.0222222222222222,0.0333333333333333,0.266666666666667,0.272222222222222,0.244444444444444,0,0,1,180,0.091,521089.197916667,"low",8.24193548387097,-0.179944321885782
"tws","burn","2015-08-27",6.45859000684463,2015,8,"2022-03-05 17:10:00",38,8414.679919,614.873788617886,"F",1.14,50,"aug","blaz","2009-02-28",2.247775496,"2015-08-15",28.691,8.8,7,40,"2018-04-17",NA,0.535772357723577,2,"2016-10-27",20,1,"11/8/16",15705.7,1,9373.912659,"","aug",0,0,0.05,0.327777777777778,0.355555555555556,0.2,0,0,1,180,0.13,7755239.42916667,"low",8.24193548387097,-0.140551640998993
"tws","dame","2015-08-27",3.60301163586585,2015,8,"2022-03-05 15:22:00",39,1169.091814,375.211123429416,"F",0.91,44,"aug","dixi","2012-01-07",1.869952088,"2015-08-15",15.407,9.2,7,40,"2018-04-17",NA,0.608832224685883,2,"2016-10-27",20,9,"11/24/16",1920.22,14,1435.747448,"redo, CV's too hi, originally in batch 1, run 1","aug",0.0388888888888889,0.00555555555555556,0.0222222222222222,0.355555555555556,0.25,0.261111111111111,0,0,0,180,0.957,7755239.42916667,"low",8.24193548387097,-0.209471915576494
"tws","peke","2015-08-27",4.62422997946612,2015,8,"2022-03-05 17:47:00",40,6765.52923,835.396670538134,"M",0.91,42,"aug","pans","2010-12-30",2.814510609,"2015-08-15",32.744,1,7,40,"2018-04-17",NA,0.637824235385211,2,"2016-10-27",20,1,"11/8/16",10607.2,1,7930.997659,"","aug",0.0446927374301676,0.0111731843575419,0.00558659217877095,0.452513966480447,0.251396648044693,0.173184357541899,0,0,2,179,0.174,7755239.42916667,"low",8.24193548387097,-0.156449011090627
"tws","brog","2015-08-27",6.57631759069131,2015,8,"2022-03-05 17:10:00",41,3666.119771,562.244382852919,"F",1.05,44,"aug","bow","2009-01-16",2.516084873,"2015-08-15",23.087,7.9,7,40,"2018-04-17",NA,0.608832224685883,2,"2016-10-27",20,1,"11/8/16",6021.56,1,3902.00818,"","aug",0,0,0.05,0.505,0.135,0.205,0,0,2,200,0.826,7755239.42916667,"low",8.24193548387097,-0.0694719155764944
"twn","keny","2015-08-28",5.51676933607118,2015,8,"2022-03-05 10:39:00",42,3879.197936,583.620950594121,"M",0.84,26,"aug","kayl","2010-02-07",2.453114305,"2015-08-15",14.161,4.1,7,40,"2018-04-17",NA,1.03033145716073,2,"2016-10-27",10,3,"11/16/16",3765,4,3049.679152,"","aug",0.065,0,0,0.315,0.385,0.13,0,1,1,200,0.455,521089.197916667,"low",8.24193548387097,0.185668153006938
